From  To,Player (129),Pos,Yrs,"Value  $1,406,729,444","AAV  $6,998,654",Unnamed: 6
ATL,Keaton Wallace,G,1,$0,$0,Official
SAS,Riley Minix,SF,1,$0,$0,Official
SAS,Harrison Ingram,SF,1,$0,$0,Official
DEN,Spencer Jones,SF,1,$0,$0,Official
NYK,Kevin McCullar Jr.,SG,1,$0,$0,Official
BKN,E.J. Liddell,PF,1,$0,$0,Official
LAL,Christian Koloko,C,1,$0,$0,Official
CHI,Yuki Kawamura,G,1,$0,$0,Official
CHI,Emanuel Miller,SF,1,$0,$0,Official
MIN,Tristen Newton,PG,1,$0,$0,Official
OKC,Branden Carlson,C,1,$0,$0,Official
ATL,Jacob Toppin,SF,1,$0,$0,Official
BKN,Tyson Etienne,G,1,$0,$0,Official
UTA,Oscar Tshiebwe,PF,1,$0,$0,Official
