k,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,-9999
116,Paolo Banchero,ORL,$15334769,$41500000,$44820000,$48140000,$51460000,,$201254769,banchpa01
117,Nickeil Alexander-Walker,ATL,$15161800,$14403710,$15161800,$15919890,,,$44727310,alexani01
118,Onyeka Okongwu,ATL,$15000000,$16120000,$16880000,,,,$48000000,okongon01
119,Jonathan Isaac,ORL,$15000000,$14500000,$14500000,$15000000,,,$44000000,isaacjo01
120,Isaiah Stewart,DET,$15000000,$15000000,$15000000,,,,$30000000,stewais01
121,Daniel Gafford,DAL,$14386320,$17263584,$18126763,$18989942,,,$68766609,gaffoda01
122,Deni Avdija,POR,$14375000,$13125000,$11875000,,,,$39375000,avdijde01
123,Jordan Clarkson,UTA,$16581988,,,,,,$14285714,clarkjo01
124,P.J. Washington,DAL,$14152174,$19813044,$21398088,$22983132,$24568176,,$102914614,washipj01
125,Steven Adams,HOU,$14130434,$13000000,$11869566,,,,$39000000,adamsst01
126,Dennis Schröder,SAC,$14104000,$14809200,$15514400,,,,$28913200,schrode01
127,Caris LeVert,DET,$14104000,$14809200,,,,,$28913200,leverca01
128,Damian Lillard,POR,$68230450,$13398800,$14104000,,,,$27502800,lillada01
129,Obi Toppin,IND,$14000000,$15000000,$16025000,,,,$45025000,toppiob01
130,Corey Kispert,WAS,$13975000,$13975000,$13050000,$13050000,,,$41000000,kispeco01
131,Herbert Jones,NOP,$13937574,$14898786,$20858300,$22526964,$24195628,,$72221624,joneshe01
132,Austin Reaves,LAL,$13937574,$14898786,,,,,$13937574,reaveau01
133,Cooper Flagg,DAL,$13825920,$14517480,$15208680,$19178146,,,$28343400,flaggco01
134,Chet Holmgren,OKC,$13731368,$41500000,$44820000,$48140000,$51460000,,$199651368,holmgch01
135,Josh Green,CHO,$13666667,$14679012,,,,,$28345679,greenjo02
136,Grant Williams,CHO,$13645500,$14265750,,,,,$27911250,willigr01
137,Bobby Portis,MIL,$13445754,$14521414,$15597074,,,,$27967168,portibo01
138,Kelly Olynyk,SAS,$13445122,,,,,,$13445122,olynyke01
139,Victor Wembanyama,SAS,$13376880,$16868246,,,,,$30245126,wembavi01
140,Robert Williams,POR,$13285713,,,,,,$13285713,williro04
141,Zaccharie Risacher,ATL,$13197720,$13826040,$17434637,,,,$27023760,risacza01
142,Cole Anthony,MEM,$15396274,,,,,,$13100000,anthoco01
