k,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,-9999
331,Ben Sheppard,IND,$2790720,$5031669,,,,,$7822389,sheppbe01
332,Hugo González,BOS,$2783880,$2923560,$3062640,$5528065,,,$5707440,gonzahu01
333,Liam McNeeley,CHO,$2763960,$2902080,$3040320,$5487778,,,$5666040,mcneeli01
334,Dillon Jones,WAS,$2753280,,,,,,$2753280,jonesdi01
335,Yanic Konan Niederhauser,LAC,$2743800,$2880960,$3018480,$5448356,,,$5624760,konanya01
336,Nick Smith Jr.,CHO,$2710680,,,,,,$2710680,smithni01
337,Brice Sensabaugh,UTA,$2693760,$4862237,,,,,$7555997,sensabr01
338,Julian Strawther,DEN,$2674200,$4826931,,,,,$7501131,strawju01
339,Terrence Shannon Jr.,MIN,$2674080,$2801640,$5054159,,,,$5475720,shannte01
340,Ryan Dunn,PHO,$2657760,$2784240,$5025553,,,,$5442000,dunnry01
341,Kobe Brown,LAC,$2654880,$4792059,,,,,$2654880,brownko01
342,Isaiah Collier,UTA,$2638200,$2763960,$4988948,,,,$5402160,colliis01
343,Baylor Scheierman,BOS,$2619000,$2744040,$4952993,,,,$5363040,scheiba01
344,Xavier Tillman Sr.,BOS,$2546675,,,,,,$2546675,tillmxa01
345,Chuma Okeke,CLE,$2546675,,,,,,,okekech01
346,Cam Spencer,MEM,$2537989,$2411090,$2616754,$2830685,,,$7565833,spencca01
347,Luka Garza,BOS,$2461463,$2801346,,,,,$5262809,garzalu01
348,Sandro Mamukelashvili,TOR,$2461463,$2801346,,,,,$2461463,mamuksa01
349,Trendon Watford,PHI,$2461463,$2801346,,,,,$2461463,watfotr01
350,Jericho Sims,MIL,$2461463,$2801346,,,,,$2461463,simsje01
351,Dru Smith,MIA,$2378870,$2584539,$2934742,,,,$2378870,smithdr01
352,Josh Minott,BOS,$2378870,$2584539,,,,,$2378870,minotjo01
353,Justin Champagnie,WAS,$2349578,$2667944,$3005085,,,,$5017522,champju01
354,Jordan Goodwin,PHO,$2349578,,,,,,$2349578,goodwjo01
355,Jay Huff,IND,$2349578,$2667944,$3005085,,,,$2349578,huffja01
356,Keon Johnson,BRK,$2349578,,,,,,$2349578,johnske07
357,Neemias Queta,BOS,$2349578,$2667944,,,,,,quetane01
358,Vit Krejci,ATL,$2349578,$2667944,$3005085,,,,,krejcvi01
359,Keon Ellis,SAC,$2301587,,,,,,$2301587,elliske01
360,A.J. Green,MIL,$2301587,,,,,,$2301587,greenaj01
361,Vince Williams Jr.,MEM,$2301587,$2489752,,,,,$2301587,willivi01
362,Anthony Gill,WAS,$2296274,,,,,,$2296274,gillan01
363,Marvin Bagley III,WAS,$2296274,,,,,,$2296274,baglema01
364,Garrett Temple,TOR,$2296274,,,,,,$2296274,templga01
365,Bismack Biyombo,SAS,$2296274,,,,,,$2296274,biyombi01
366,Lindy Waters III,SAS,$2296274,,,,,,$2296274,waterli01
367,Jordan McLaughlin,SAS,$2296274,,,,,,$2296274,mclaujo01
368,Doug McDermott,SAC,$2296274,,,,,,$2296274,mcderdo01
369,Drew Eubanks,SAC,$2296274,,,,,,$2296274,eubandr01
370,Blake Wesley,POR,$7022602,,,,,,$2296274,weslebl01
371,Collin Gillespie,PHO,$2296274,,,,,,$2296274,gilleco01
372,Kyle Lowry,PHI,$2296274,,,,,,$2296274,lowryky01
373,Eric Gordon,PHI,$2296274,,,,,,$2296274,gordoer01
374,Landry Shamet,NYK,$2296274,,,,,,$2296274,shamela01
375,Jordan Clarkson,NYK,$16581988,,,,,,$2296274,clarkjo01
376,Bones Hyland,MIN,$2296274,,,,,,$2296274,hylanbo01
377,Joe Ingles,MIN,$2296274,,,,,,$2296274,inglejo01
378,Thanasis Antetokounmpo,MIL,$2296274,,,,,,$2296274,antetth01
379,Amir Coffey,MIL,$2296274,,,,,,$2296274,coffeam01
380,Cole Anthony,MIL,$15396274,,,,,,$2296274,anthoco01
381,Precious Achiuwa,MIA,,,,,,,$2296274,achiupr01
382,Jock Landale,MEM,$10296274,,,,,,$2296274,landajo01
383,Chris Paul,LAC,$2296274,,,,,,$2296274,paulch01
384,Josh Okogie,HOU,$2296274,,,,,,$2296274,okogijo01
385,Jeff Green,HOU,$2296274,,,,,,$2296274,greenje02
386,Aaron Holiday,HOU,$2296274,,,,,,$2296274,holidaa01
387,Jae'Sean Tate,HOU,$2296274,,,,,,$2296274,tateja01
388,Gary Payton II,GSW,$2296274,,,,,,$2296274,paytoga02
389,Javonte Green,DET,$2296274,,,,,,$2296274,greenja02
390,Tim Hardaway Jr.,DEN,$2296274,,,,,,$2296274,hardati02
391,Bruce Brown,DEN,$2296274,,,,,,$2296274,brownbr01
392,Dante Exum,DAL,$2296274,,,,,,$2296274,exumda01
393,Thomas Bryant,CLE,$2296274,,,,,,$2296274,bryanth01
394,Larry Nance Jr.,CLE,$2296274,,,,,,$2296274,nancela02
395,Mason Plumlee,CHO,$2296274,,,,,,$2296274,plumlma01
396,Chris Boucher,BOS,$2296274,,,,,,$2296274,bouchch01
397,Scotty Pippen Jr.,MEM,$2270735,$2461462,$2789215,,,,$2270735,pippesc02
398,JD Davison,BOS,$2270735,,,,,,$2270735,davisjd01
399,Brandon Williams,DAL,$2270735,,,,,,,willibr03
400,Moussa Diabaté,CHO,$2270735,$2461462,,,,,,diabamo01
401,Rayan Rupert,POR,$2221677,,,,,,$2221677,ruperra01
402,Toumani Camara,POR,$2221677,,,,,,$2221677,camarto01
403,Ricky Council IV,PHI,$2221677,,,,,,$2221677,councri01
404,GG Jackson II,MEM,$2221677,$2406205,,,,,$2221677,jacksgg01
405,Gui Santos,GSW,$2221677,,,,,,$2221677,santogu01
406,Jalen Pickett,DEN,$2221677,$2406205,,,,,$2221677,pickeja02
407,Hunter Tyson,DEN,$2221677,$2406205,,,,,$2221677,tysonhu01
408,Julian Phillips,CHI,$2221677,$2406205,,,,,$2221677,phillju01
409,Jalen Wilson,BRK,$2221677,,,,,,$2221677,wilsoja03
410,Jordan Walsh,BOS,$2221677,$2406205,,,,,$200000,walshjo01
411,Duop Reath,POR,$2221677,,,,,,,reathdu01
412,Leonard Miller,MIN,$2221677,$2406205,,,,,,millele01
413,Andre Jackson Jr.,MIL,$2221677,$2406205,,,,,,jacksan01
414,Trayce Jackson-Davis,GSW,$2221677,$2406205,,,,,,jackstr02
415,Craig Porter Jr.,CLE,$2221677,$2406205,,,,,,portecr01
416,Mouhamed Gueye,ATL,$2221677,$2406205,,,,,,gueyemo02
417,JaVale McGee,DAL,$2208856,$2208856,$2208856,,,,$6626568,mcgeeja01
418,Tyler Kolek,NYK,$2191897,$2296271,$2486995,,,,$4488168,kolekty01
419,Jaylen Clark,MIN,$2191897,,,,,,$2191897,clarkja02
420,Tyrese Martin,BRK,$2191897,,,,,,$2191897,martity01
421,Justin Edwards,PHI,$2048494,$2411090,$2616754,,,,$4459584,edwarju01
422,Nigel Hayes-Davis,PHO,$2048494,,,,,,$2048494,hayesni01
423,N'Faly Dante,ATL,$2048494,$2411090,,,,,,nfalyda01
424,Tyler Smith,MIL,$1955377,$2296271,,,,,$4251648,smithty02
425,Johnny Furphy,IND,$1955377,$2296271,$2486995,,,,$4251648,furphjo01
426,Jonathan Mogbo,TOR,$1955377,$2296271,,,,,$1955377,mogbojo01
427,Jamal Shead,TOR,$1955377,$2296271,,,,,$1955377,sheadja01
428,Oso Ighodaro,PHO,$1955377,$2296271,$2486995,,,,$1955377,ighodos01
429,Ariel Hukporti,NYK,$1955377,,,,,,$1955377,hukpoar01
430,Karlo Matković,NOP,$1955377,$2296271,,,,,$1955377,matkoka01
431,Keshad Johnson,MIA,$1955377,,,,,,$1955377,johnske10
432,Jaylen Wells,MEM,$1955377,$2296271,$2486995,,,,$1955377,wellsja01
433,Bronny James,LAL,$1955377,$2296271,$2486995,,,,$1955377,jamesbr02
434,Cam Christie,LAC,$1955377,$2296271,$2486995,,,,$1955377,chrisca02
435,Quinten Post,GSW,$1955377,,,,,,$1955377,postqu01
436,Isaac Jones,DET,$1955377,,,,,,$1955377,jonesis01
437,Bobi Klintman,DET,$1955377,$2296271,$2486995,,,,$1955377,klintbo01
438,Drew Timme,BRK,$1955377,,,,,,$1955377,timmedr01
439,Jamison Battle,TOR,$1955377,$2296271,,,,,,battlja01
440,Adem Bona,PHI,$1955377,$2296271,$2486995,,,,,bonaad01
441,Pelle Larsson,MIA,$1955377,$2296271,,,,,,larsspe01
442,Olivier-Maxence Prosper,DAL,$1002360,$1002360,$1002360,,,,$3007080,prospol01
443,James Wiseman,IND,$1000000,,,,,,$1000000,wisemja01
444,E.J. Liddell,PHO,$706898,$706898,,,,,$1413796,liddeej01
445,Mamadi Diakite,MEM,$464050,$464050,,,,,$928100,diakima01
446,Ricky Rubio,CLE,$424672,$424672,,,,,$849344,rubiori01
447,Didi Louzada,POR,$268032,$268032,$268032,$268032,,,$1072128,louzama01
448,Jaden Springer,NOP,$70732,,,,,,$70732,sprinja01
